"subject" "activity" "measures" "mean" "meanFreq" "std"
1 "LAYING" "fBodyAcc" -0.896277044593333 0.00939327543266667 -0.856984850046667
1 "LAYING" "fBodyAccJerk" -0.942532465933333 0.060440218878 -0.9523218554
1 "LAYING" "fBodyAccMag" -0.8617676481 0.08640856294 -0.7983009404
1 "LAYING" "fBodyBodyAccJerkMag" -0.9333003608 0.26639115416 -0.9218039756
1 "LAYING" "fBodyBodyGyroJerkMag" -0.9423669466 0.17648590708 -0.9326606676
1 "LAYING" "fBodyBodyGyroMag" -0.8621901854 -0.1397750127 -0.82431943968
1 "LAYING" "fBodyGyro" -0.903914463462 -0.0282059336926667 -0.916703669466667
1 "LAYING" "tBodyAcc" 0.0226269123102 NA -0.863648425482667
1 "LAYING" "tBodyAccJerk" 0.0319196581899333 NA -0.945828832133333
1 "LAYING" "tBodyAccJerkMag" -0.9543962646 NA -0.9282456284
1 "LAYING" "tBodyAccMag" -0.8419291525 NA -0.79514486386
1 "LAYING" "tBodyGyro" 0.0225500727313333 NA -0.910972990206667
1 "LAYING" "tBodyGyroJerk" -0.074279452394 NA -0.948101974666667
1 "LAYING" "tBodyGyroJerkMag" -0.96346103 NA -0.9358409828
1 "LAYING" "tBodyGyroMag" -0.874759548 NA -0.81901016976
1 "LAYING" "tGravityAcc" 0.300828564993333 NA -0.885638771793333
1 "LAYING" "tGravityAccMag" -0.8419291525 NA -0.79514486386
1 "SITTING" "fBodyAcc" -0.960970226099291 0.0884207831503546 -0.942718959219858
1 "SITTING" "fBodyAccJerk" -0.984743193971631 0.132182203594326 -0.986115362978723
1 "SITTING" "fBodyAccMag" -0.947782922553192 0.236655011680851 -0.928444801702128
1 "SITTING" "fBodyBodyAccJerkMag" -0.985262126808511 0.351852201957447 -0.981606177446808
1 "SITTING" "fBodyBodyGyroJerkMag" -0.989797547234043 0.184775928085106 -0.987049617234043
1 "SITTING" "fBodyBodyGyroMag" -0.958435589361702 -0.000262186717021277 -0.932198374893617
1 "SITTING" "fBodyGyro" -0.967771864609929 0.0741653891649645 -0.961389036879433
1 "SITTING" "tBodyAcc" 0.0517950318395035 NA -0.946477980425532
1 "SITTING" "tBodyAccJerk" 0.0244985416073759 NA -0.985237827021277
1 "SITTING" "tBodyAccJerkMag" -0.987364195531915 NA -0.984120024042553
1 "SITTING" "tBodyAccMag" -0.948536786170213 NA -0.927078418723404
1 "SITTING" "tBodyGyro" -0.0247809434191489 NA -0.961703699787234
1 "SITTING" "tBodyGyroJerk" -0.0601979400496454 NA -0.989728489007092
1 "SITTING" "tBodyGyroJerkMag" -0.991976341276596 NA -0.988308728510638
1 "SITTING" "tBodyGyroMag" -0.93089249 NA -0.934531840425532
1 "SITTING" "tGravityAcc" 0.455988409617021 NA -0.951005044964539
1 "SITTING" "tGravityAccMag" -0.948536786170213 NA -0.927078418723404
1 "STANDING" "fBodyAcc" -0.985872626352201 0.149617632140063 -0.982086235597484
1 "STANDING" "fBodyAccJerk" -0.990267222641509 0.163975438131447 -0.991480601383648
1 "STANDING" "fBodyAccMag" -0.985356361132075 0.284555290773585 -0.982313804716981
1 "STANDING" "fBodyBodyAccJerkMag" -0.99254247754717 0.422220102264151 -0.992536003396226
1 "STANDING" "fBodyBodyGyroJerkMag" -0.994815376981132 0.334498734301887 -0.994671123207547
1 "STANDING" "fBodyBodyGyroMag" -0.984617623396226 -0.0286057725328302 -0.978466072075472
1 "STANDING" "fBodyGyro" -0.98538145490566 -0.021468194427044 -0.985650062138365
1 "STANDING" "tBodyAcc" 0.0507260737389937 NA -0.98290861163522
1 "STANDING" "tBodyAccJerk" 0.0265557118692075 NA -0.990834817358491
1 "STANDING" "tBodyAccJerkMag" -0.992367790566038 NA -0.993096209433962
1 "STANDING" "tBodyAccMag" -0.984278207358491 NA -0.981942928867925
1 "STANDING" "tBodyGyro" -0.00286140159301887 NA -0.985190671194969
1 "STANDING" "tBodyGyroJerk" -0.0642075157899371 NA -0.993397163836478
1 "STANDING" "tBodyGyroJerkMag" -0.994966790566038 NA -0.994733238679245
1 "STANDING" "tBodyGyroMag" -0.976493792830189 NA -0.978690028679245
1 "STANDING" "tGravityAcc" 0.227819583478616 NA -0.983771002201258
1 "STANDING" "tGravityAccMag" -0.984278207358491 NA -0.981942928867925
1 "WALKING" "fBodyAcc" -0.148213899237895 -0.0149094029247719 -0.180927154742561
1 "WALKING" "fBodyAccJerk" -0.224923904431407 -0.260343132610526 -0.187186729870456
1 "WALKING" "fBodyAccMag" -0.128623450629474 0.1906437244 -0.398032586842105
1 "WALKING" "fBodyBodyAccJerkMag" -0.0571194000343158 0.0938221807027368 -0.103492403002105
1 "WALKING" "fBodyBodyGyroJerkMag" -0.319308593778947 0.190663448793684 -0.381601911789474
1 "WALKING" "fBodyBodyGyroMag" -0.199252568986316 0.268844367525895 -0.321017953894737
1 "WALKING" "fBodyGyro" -0.232677517955439 -0.0167389329248772 -0.328920775332982
1 "WALKING" "tBodyAcc" 0.0495996122207018 NA -0.143102274768421
1 "WALKING" "tBodyAccJerk" 0.0327151122421053 NA -0.183104296731228
1 "WALKING" "tBodyAccJerkMag" -0.141428809031579 NA -0.0744717500625263
1 "WALKING" "tBodyAccMag" -0.136971176556842 NA -0.219688645631579
1 "WALKING" "tBodyGyro" -0.00880539747778947 NA -0.290803294675965
1 "WALKING" "tBodyGyroJerk" -0.0586571142729825 NA -0.305381939340351
1 "WALKING" "tBodyGyroJerkMag" -0.298703679084211 NA -0.325324878894737
1 "WALKING" "tBodyGyroMag" -0.160979552536842 NA -0.186978364526316
1 "WALKING" "tGravityAcc" 0.194985105403509 NA -0.965210943368421
1 "WALKING" "tGravityAccMag" -0.136971176556842 NA -0.219688645631579
1 "WALKING_DOWNSTAIRS" "fBodyAcc" -0.0619317935689796 0.0167158620191837 -0.128853598502721
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk" -0.14822192032517 -0.19379393575034 -0.207543123267823
1 "WALKING_DOWNSTAIRS" "fBodyAccMag" 0.0965845343040816 0.119187142767959 -0.186530301073469
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag" 0.0262184949326531 0.0764915474326531 -0.104052260726531
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag" -0.281963359177551 0.190000706165102 -0.391919876612245
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag" -0.185720285744898 0.349613895469388 -0.398350390122449
1 "WALKING_DOWNSTAIRS" "fBodyGyro" -0.146673770343537 -0.0311929290312925 -0.305093593355102
1 "WALKING_DOWNSTAIRS" "tBodyAcc" 0.057234541629932 NA -0.0774449394348912
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk" 0.024277930837415 NA -0.153206761170748
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" -0.0894474807979592 NA -0.0257877197081633
1 "WALKING_DOWNSTAIRS" "tBodyAccMag" 0.0271882914106122 NA 0.0198843506265306
1 "WALKING_DOWNSTAIRS" "tBodyGyro" -0.0119767683721088 NA -0.236360730706803
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk" -0.04833186269 NA -0.331537883339456
